종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"014790","HL D&I","KOSPI",,,"064102","토목 건설업","12",,"37858601","5000","194374710000","원(KRW)","홍석화","02-3434-5114","서울특별시 송파구 올림픽로 289 "
"028300","HLB","KOSDAQ","중견기업부",,"032103","의료용품 및 기타 의약 관련제품 제조업","12",,"130845364","500","65422682000","원(KRW)","진양곤, 백윤기 (각자대표)","02-3453-4414","세종특별자치시  연동면 명학산단서로 10-5 -"
"003580","HLB글로벌","KOSPI",,,"074701","종합 소매업","12",,"47410892","500","23705446000","원(KRW)","김광재","02-6925-4450","강원도 정선군 사북읍 소금강로 3583-1 1층 101호(하이시티1)"
"278650","HLB바이오스텝","KOSDAQ","우량기업부",,"137001","자연과학 및 공학 연구개발업","12",,"86730589","100","8673058900","원(KRW)","문정환","032-833-8899","인천광역시 연수구 아카데미로79번길 38 - "
"343090","HLB사이언스","KONEX","일반기업부",,"032103","의료용품 및 기타 의약 관련제품 제조업","12","신한증권","16440407","500","8220203500","원(KRW)","윤종선","02-6925-0379","서울특별시 성동구 아차산로 66 6층(성수동2가)"
"067630","HLB생명과학","KOSDAQ","중견기업부",,"032103","의료용품 및 기타 의약 관련제품 제조업","12",,"118666653","500","59333326500","원(KRW)","남상우, 한용해(각자대표)","02-2627-6700","경기도 화성시 동탄첨단산업1로 51-9 8층(영천동,엠타워지식산업센터)"
"024850","HLB이노베이션","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"72378055","500","36189027500","원(KRW)","-","031-522-3700","경기도 화성시 향남읍 발안공단로4길 16 구문천리 928"
"047920","HLB제약","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"31799994","500","15899997000","원(KRW)","박재형","02-411-1514","경기도 남양주시 경강로 27 "
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부",,"074607","기타 전문 도매업","12",,"79249138","500","39624569000","원(KRW)","안기홍","031-786-7800","경기도 성남시 분당구  정자일로 248 2201 "
"046210","HLB파나진","KOSDAQ","벤처기업부",,"032103","의료용품 및 기타 의약 관련제품 제조업","12",,"41014527","500","20507263500","원(KRW)","장인근","042-861-9295","대전광역시 유성구  테크노10로 54 "
"204320","HL만도","KOSPI",,,"033003","자동차 신품 부품 제조업","12",,"46957120","1000","46957120000","원(KRW)","조성현, 김현욱 (각자대표)","031-680-6114","경기도 평택시 포승읍 하만호길 32 "
"060980","HL홀딩스","KOSPI",,,"116409","기타 금융업","12",,"10169410","5000","55086180000","원(KRW)","김광헌, 김준범","02-3434-5133","경기도 용인시 기흥구 기흥단지로 46 -"
"011200","HMM","KOSPI",,,"085001","해상 운송업","12",,"749039496","5000","3745197480000","원(KRW)","김경배","02-3706-5114","서울특별시 영등포구 여의대로 108 (여의도동, 파크원 타워1)"
"403870","HPSP","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","12",,"82934144","500","41467072000","원(KRW)","김용운","031-227-9898","경기도 화성시 삼성1로1길 26 석우동"
"036640","HRS","KOSDAQ","우량기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"16354800","500","8177400000","원(KRW)","김진성","02  -780 -6156","경기도 평택시  팽성읍 추팔산단2길 7 "
"035000","HS애드","KOSPI",,,"137103","광고업","12",,"16567409","1000","17571493000","원(KRW)","박애리","02-705-2130","서울특별시 마포구  마포대로 155 LG마포B/D15F"
"002460","HS화성","KOSPI",,,"064101","건물 건설업","12",,"10150000","5000","62254000000","원(KRW)","이종원,최진엽","053-767-2111","대구광역시 수성구  동대구로 111 "
"439730","IBKS제20호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4310000","100","431000000","원(KRW)","최규원","02-6915-5797","서울특별시 영등포구 국제금융로6길 11(여의도동, 삼덕빌딩) "
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4210000","100","421000000","원(KRW)","김태우","02-6915-5356","서울특별시 영등포구 국제금융로6길 11(여의도동, 삼덕빌딩) "
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4430000","100","443000000","원(KRW)","윤별수","02-6915-5334","서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 "
"467930","IBKS제23호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4230000","100","423000000","원(KRW)","오창수","02-6915-5356","서울특별시 영등포구 국제금융로6길 11 "
"469480","IBKS제24호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4230000","100","423000000","원(KRW)","김강민","02-6915-5583","서울특별시 영등포구 국제금융로6길 11 &nbsp"
"003560","IHQ","KOSPI",,,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"5550124","500","2775062000","원(KRW)","오준","02-6005-6000","서울특별시 강서구 강서로 501-8 6층 "
"095340","ISC","KOSDAQ","우량기업부",,"074605","기계장비 및 관련 물품 도매업","12",,"21197058","500","10598529000","원(KRW)","김정렬, 김종우 (공동 대표이사)","031-777-7675","경기도 성남시 수정구 금토로40번길 26 -"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)",,"032605","영상 및 음향기기 제조업","12",,"45281824","500","22640912000","원(KRW)","박상열,박근식 (각자 대표이사)","02-2082-8500","서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호"
"175330","JB금융지주","KOSPI",,,"116409","기타 금융업","12",,"195083198","5000","984914470000","원(KRW)","김기홍","02-2128-2714","전라북도 전주시 덕진구  백제대로 566 "
"950170","JTC","KOSDAQ","외국기업(소속부없음)",,"074701","종합 소매업","02",,"51746348","무액면","0","일본엔(JPY)","구철모","02-785-9101","(160-0017) 도쿄도 신주쿠구 사몬쵸 2-6 와코빌딩 6F - "
"234080","JW생명과학","KOSPI",,,"032102","의약품 제조업","12",,"15834554","2500","39586385000","원(KRW)","함은경","041-351-7600","충청남도 당진시 송악읍 한진1길 28 "
"067290","JW신약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"50841502","500","25420751000","원(KRW)","김용관","02-840-6111","경기도 과천시 과천대로7길 38 - "
"001060","JW중외제약","KOSPI",,,"032102","의약품 제조업","12",,"23285930","2500","59594635000","원(KRW)","대표이사 신영섭","02-840-6777","경기도 과천시 과천대로7길 38 - "
"096760","JW홀딩스","KOSPI",,,"116409","기타 금융업","12",,"73924942","500","36962471000","원(KRW)","이경하, 차성남","02-840-6777","경기도 과천시 과천대로7길 38 - "
"035900","JYP Ent.","KOSDAQ","우량기업부",,"105902","오디오물 출판 및 원판 녹음업","12",,"35532492","500","17960951500","원(KRW)","정욱","02-2225-8100","서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) "
"318000","KBG","KOSDAQ","벤처기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"8740223","200","1748044600","원(KRW)","부삼열","041-523-6201","충청남도 천안시 동남구 성남면 대흥신덕길 84-19 "
"024840","KBI메탈","KOSDAQ","중견기업부",,"032402","1차 비철금속 제조업","12",,"34909199","500","17454599500","원(KRW)","김병제,김재충 각자대표이사","053-610-5610","대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장"
"105560","KB금융","KOSPI",,,"116409","기타 금융업","12",,"403511072","5000","2090557685000","원(KRW)","양종희","02-2073-7114","서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)"
"432320","KB스타리츠","KOSPI",,,"126801","부동산 임대 및 공급업","01",,"101414285","500","50707142500","원(KRW)","신명재","02-2167-8772","서울특별시 영등포구 국제금융로 10, 41층 "
"024120","KB오토시스","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"11500000","500","5750000000","원(KRW)","김신완","041-537-5345","충청남도 아산시  음봉면 아산온천로 528-24 "
"455250","KB제25호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4305000","100","430500000","원(KRW)","전현식","02-6114-0904","서울특별시 영등포구 여의대방로67길 10, 405호 "
"458320","KB제26호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5505000","100","550500000","원(KRW)","주우식","02-6114-2957","서울특별시 영등포구 여의나루로 50 "
"464680","KB제27호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"12905000","100","1290500000","원(KRW)","이태영","02-6114-0458","서울특별시 영등포구 여의나루로 50 "
"476470","KB제28호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5505000","100","550500000","원(KRW)","고광범","0261141682","서울특별시 영등포구 여의나루로 50 "
"478390","KB제29호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"6220000","100","622000000","원(KRW)","서영화",,"서울특별시 영등포구 여의나루로 50 "
"002380","KCC","KOSPI",,,"032004","기타 화학제품 제조업","12",,"8886471","5000","48084660000","원(KRW)","정몽진, 정재훈","02-3480-5000","서울특별시 서초구  사평대로 344 (주)케이씨씨 빌딩"
"021320","KCC건설","KOSDAQ","우량기업부",,"064101","건물 건설업","12",,"21400000","5000","107000000000","원(KRW)","정몽열,심광주","02-513-5500","서울특별시 서초구  강남대로 587 KCC 건설 "
"344820","KCC글라스","KOSPI",,,"032301","유리 및 유리제품 제조업","12",,"15970512","1000","15970512000","원(KRW)","정몽익, 변종오(각자대표이사)",,"서울특별시 서초구 강남대로 587(잠원동) "
"036670","KCI","KOSDAQ","우량기업부",,"032004","기타 화학제품 제조업","12",,"11270000","500","5635000000","원(KRW)","이진용","031 -497 -6411","충남 서산시 대산읍 대죽리 13-7 "
